#F1	F2	d
MZ22529780	MZ22513309	0.8333
MZ22518096	MZ22510262	0.1109
MZ22527549	MZ22512555	0.1319
MZ22528398	MZ22513282	0.1843
MZ22529056	MZ22513558	0.5104
MZ22530508	MZ22513426	0.2819
MZ22512020	MZ22504193	0.7259
MZ22518344	MZ22505987	0.1209
MZ22517306	MZ22509864	0.1740
MZ22526982	MZ22520835	0.2435
MZ22530053	MZ22506714	0.1240
MZ22506795	MZ22501526	0.2875
MZ22529030	MZ22500115	0.4783
MZ22525841	MZ22522042	0.5344
MZ22524962	MZ22513878	0.2073
MZ22521548	MZ22512538	0.5633
MZ22529204	MZ22504908	0.5250
MZ22529258	MZ22503698	0.5305
MZ22515171	MZ22502782	0.3122
MZ22509818	MZ22500310	0.0893
MZ22528988	MZ22502937	0.2959
MZ22526838	MZ22512523	0.1020
MZ22520502	MZ22504521	0.1441
MZ22520200	MZ22515605	0.0844
MZ22523669	MZ22513378	0.0933
MZ22526237	MZ22504138	0.3613
MZ22515205	MZ22516151	0.2064
MZ22529291	MZ22502645	0.6969
MZ22510738	MZ22500163	0.0659
MZ22526907	MZ22504876	0.1549
MZ22505924	MZ22500955	0.2085
MZ22529963	MZ22500590	0.3056
MZ22526576	MZ22521201	0.0648
MZ22506887	MZ22501357	0.1978
MZ22518070	MZ22508805	0.7519
MZ22525140	MZ22517093	0.7137
MZ22526091	MZ22508612	0.4897
MZ22522635	MZ22513876	0.4934
MZ22515809	MZ22506290	0.1824
MZ22523509	MZ22507494	0.2182
MZ22503935	MZ22500374	0.5702
MZ22525771	MZ22518208	0.1908
MZ22517642	MZ22501748	0.5176
MZ22519685	MZ22504283	0.3251
MZ22529586	MZ22501052	0.0670
MZ22525229	MZ22507914	0.3772
MZ22513198	MZ22504105	0.3051
MZ22526458	MZ22514645	0.8054
MZ22525831	MZ22516369	0.3711
MZ22529589	MZ22525265	0.9891
MZ22521676	MZ22503960	0.5086
MZ22526239	MZ22514519	0.6137
MZ22529674	MZ22508905	0.5686
MZ22522061	MZ22502474	0.3464
MZ22526937	MZ22520008	0.1766
MZ22525592	MZ22509566	0.2880
MZ22527232	MZ22526212	0.3570
MZ22511948	MZ22502185	0.5468
MZ22530553	MZ22508554	0.5941
